name,price,description,image_url,category,length,width,height,sku,colors,materials,handle,productUrl
Oslo Sofa,899,Modern 3-seater sofa,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=400,Sofas,84,36,32,SKU-001,Beige|Gray|Navy Blue|Forest Green|Charcoal,Fabric|Velvet|Leather,oslo-sofa,https://yourstore.com/products/oslo-sofa
Marble Coffee Table,349,Round marble top table,https://images.unsplash.com/photo-1567538096630-e0c55bd6374c?w=400,Tables,36,36,18,SKU-002,White|Black|Gold,Marble|Tempered Glass,marble-coffee-table,https://yourstore.com/products/marble-coffee-table
Linen Armchair,499,Comfortable armchair,https://images.unsplash.com/photo-1506439773649-6e0eb8cfb237?w=400,Chairs,32,34,36,SKU-003,Beige|Sage Green|Dusty Rose|Cream,Linen|Velvet|Boucl̩,linen-armchair,https://yourstore.com/products/linen-armchair
Walnut Dining Table,1299,Solid walnut dining table,https://images.unsplash.com/photo-1615066390971-03e4e1c36ddf?w=400,Tables,72,36,30,SKU-004,Walnut|Oak|Black,Solid Wood|Engineered Wood,walnut-dining-table,https://yourstore.com/products/walnut-dining-table
Velvet Sectional,1599,L-shaped sectional,https://images.unsplash.com/photo-1493663284031-b7e3aaa4cab7?w=400,Sofas,110,85,32,SKU-005,Midnight Blue|Emerald|Burgundy|Gray|Cream,Velvet|Performance Fabric,velvet-sectional,https://yourstore.com/products/velvet-sectional
Rattan Accent Chair,329,Bohemian accent chair,https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?w=400,Chairs,28,30,34,SKU-006,Natural|White|Black,Rattan|Wicker,rattan-accent-chair,https://yourstore.com/products/rattan-accent-chair
Minimalist Bookshelf,449,5-tier open bookshelf,https://images.unsplash.com/photo-1594620302200-9a762244a156?w=400,Storage,36,12,72,SKU-007,White|Oak|Black|Walnut,MDF|Solid Wood|Metal,minimalist-bookshelf,https://yourstore.com/products/minimalist-bookshelf
Platform Bed Frame,799,Queen platform bed,https://images.unsplash.com/photo-1505693314120-0d443867891c?w=400,Bedroom,64,84,14,SKU-008,Walnut|Black|White Oak|Gray,Solid Wood|Upholstered|Metal,platform-bed-frame,https://yourstore.com/products/platform-bed-frame
Leather Lounge Chair,899,Mid-century lounge chair,https://images.unsplash.com/photo-1567538096630-e0c55bd6374c?w=400,Chairs,32,34,40,SKU-009,Caramel|Black|White|Cognac,Full Grain Leather|PU Leather,leather-lounge-chair,https://yourstore.com/products/leather-lounge-chair
Glass Side Table,199,Tempered glass side table,https://images.unsplash.com/photo-1533090161767-e6ffed986c88?w=400,Tables,18,18,22,SKU-010,Clear|Smoked|Black Frame,Tempered Glass|Acrylic,glass-side-table,https://yourstore.com/products/glass-side-table
Fabric Sofa Bed,1099,Queen sofa bed,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=400,Sofas,88,40,36,SKU-011,Gray|Beige|Navy|Sage,Fabric|Microfiber|Performance Fabric,fabric-sofa-bed,https://yourstore.com/products/fabric-sofa-bed
Rustic TV Console,599,Reclaimed wood TV console,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=400,Storage,60,18,24,SKU-012,Rustic Brown|Dark Walnut|Gray Wash,Reclaimed Wood|MDF,rustic-tv-console,https://yourstore.com/products/rustic-tv-console
Pendant Lamp,249,Woven rattan pendant,https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?w=400,Lighting,18,18,24,SKU-013,Natural|Black|White,Rattan|Metal|Bamboo,pendant-lamp,https://yourstore.com/products/pendant-lamp
Upholstered Bench,379,Entryway bench,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=400,Bedroom,48,16,20,SKU-014,Navy|Emerald|Gray|Blush Pink|Cream,Velvet|Linen|Boucle,upholstered-bench,https://yourstore.com/products/upholstered-bench
Floating Wall Shelf,129,Set of 3 floating shelves,https://images.unsplash.com/photo-1594620302200-9a762244a156?w=400,Storage,24,8,6,SKU-015,White|Black|Oak|Walnut,MDF|Solid Wood,floating-wall-shelf,https://yourstore.com/products/floating-wall-shelf
